,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
457,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.docx,Mobile Application Development Agreement,"['VGrab Asia Ltd.', 'Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie']",VGrab Asia Ltd.,"Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie","5th Day of
March, 2019",5th March 2019,,two (2) weeks,Yes,"$ 200,000.00","VAL shall, in the event of Developer committing any breach of any of the terms and conditions of this agreement or for any other reason considered as sufficient, be entitled to terminate this agreement by giving two (2) weeks’ notice in writing and it is applicable only when the project is not completed.",Yes,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.docx,Hong Kong,P.R.China
458,VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.docx,OPERATIONS AND MAINTENANCE AGREEMENT,"['MAGELLAN TERMINALS HOLDINGS, L.P.', 'OMEGA REFINING, LLC']","MAGELLAN TERMINALS HOLDINGS, L.P.","OMEGA REFINING, LLC","November 3, 2010","November 3, 2010",,60 days,Yes,,"The contract can be terminated due to default by either party, including failure to pay, breach of contract, or other specified events.",Yes,VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.docx,Delaware,Delaware
459,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT.docx",SUPPLY AGREEMENT,"['SutroVax, Inc.', 'Sutro Biopharma, Inc.']",SutroVax,Sutro,"May 29, 2018","May 29, 2018","July 31, 2021",[***] days,Yes,[***],"The Supply Agreement may be terminated by either party if the other party materially breaches any of the material terms, conditions or agreements contained in this Supply Agreement to be kept, observed or performed by the other Party, by giving the Party who committed the breach [***] days’ prior written notice, unless the notified Party shall have cured the breach within such [***]-day period.",Yes,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT.docx",CA,CA
460,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['Forty Niners SC Stadium Company LLC', 'Violin Memory, Inc.']",Forty Niners SC Stadium Company LLC,"Violin Memory, Inc.","June 13, 2012","June 13, 2012",,30 days,Yes,"four million U.S. Dollars (USD $4,000,000.00)","The contract can be terminated due to default, insolvency or bankruptcy, harmful behavior, stadium naming rights issues, or discontinuance of mark usage.",Yes,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.docx,Santa Clara,Mountain View
461,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.docx",JOINT FILING STATEMENT,"['SCULPTOR CAPITAL LP', 'SCULPTOR CAPITAL HOLDING CORPORATION', 'SCULPTOR MANAGEMENT, INC.', 'SCULPTOR MASTER FUND LTD']",SCULPTOR CAPITAL LP,"SCULPTOR CAPITAL HOLDING CORPORATION, SCULPTOR MANAGEMENT, INC., SCULPTOR MASTER FUND LTD","April 8, 2020",,,,,,,,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.docx",Null,Null
462,VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.docx,JOINT SUPPLY AND MARKETING AGREEMENT,"['Bunker One (USA) Inc.', 'Vertex Energy Operating, LLC']",Bunker One (USA) Inc.,"Vertex Energy Operating, LLC","January 10, 2020","May 1, 2020","April 30, 2029",120 days,Yes,[****]%,"The contract can be terminated by either party giving written notice of non-renewal to the other party no less than 120 days prior to the applicable expiry date, or in the event of a default, the non-defaulting party may terminate the contract with immediate effect after the expiration of notice and cure rights.",Yes,VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.docx,Alabama,Texas
463,"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx",STRATEGIC ALLIANCE AGREEMENT,"['PPD Development, LP', 'VirtualScopics, Inc.']","PPD Development, LP","VirtualScopics, Inc.","October 22, 2010","October 22, 2010",,30 days,Yes,,"Either party may terminate this Agreement, without cause, upon ninety (90) days prior written notice to the other party, provided, however, that all outstanding Work Orders shall continue to be governed by the terms and conditions hereof.",Yes,"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx",Texas,New York
464,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.docx,NON-EXCLUSIVE LICENSE AGREEMENT,"['THE JOHNS HOPKINS UNIVERSITY', 'VIRTUOSO SURGICAL, INC.']",THE JOHNS HOPKINS UNIVERSITY,"VIRTUOSO SURGICAL, INC.","May 3, 2016","May 3, 2016",,sixty (60) days,Yes,two-thousand dollars ($2000),"JHU, at its option, may terminate this Agreement and the license granted herein if Company has not made any sales of LICENSED PRODUCT(S) or LICENSED SERVICE(S) in any period of four consecutive quarters, after the initial commercial sale of the PRODUCT(S) or LICENSED SERVICE(S).",Yes,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.docx,Maryland,Tennessee
465,VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.docx,SERVICES AND HOSTING AGREEMENT,"['VITALIBIS INC', 'VOTOCAST, Inc.']",VITALIBIS INC,"VOTOCAST, Inc.","March 7th, 2018","March 7th, 2018",,180 days,Yes,,"Either party can terminate the contract by giving written notice to the other party if the other party is in material breach of any obligation under this Agreement, which breach is not cured within thirty (30) days after receipt of written notice of such breach.",Yes,VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.docx,Nevada,California
466,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['Excite, Inc.', 'Vitamin Shoppe Industries Inc.']",Excite,Client,September 23rd day of September 1998,September 23rd day of September 1998,,thirty (30) days,Yes,[*****],Either party may terminate this Agreement if the other party materially breaches its obligations hereunder and such breach remains uncured for thirty (30) days following the notice to the breaching party of the breach.,Yes,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.docx,California,New Jersey
467,VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.docx,Agreement,"['VERIZON OWNER TRUST 2020-A', 'VERIZON ABS LLC', 'CELLCO PARTNERSHIP d/b/a VERIZON WIRELESS']",VERIZON OWNER TRUST 2020-A,VERIZON ABS LLC,"January 29, 2020","January 29, 2020",,,Yes,,"This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.",Yes,VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.docx,Null,Delaware
468,"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.docx",Sponsorship Agreement,"['ANTHEMIC, LLC', 'VNUE INC']","ANTHEMIC, LLC",VNUE INC,"JUNE 23, 2015","JUNE 23, 2015","August 2nd, 2015",15 days,Yes,"$75,000",ANTHEMIC may at any time terminate this Agreement if the Sponsor breaches any material term or provision of this Agreement.,Yes,"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.docx",California,Washington
469,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.docx",DISTRIBUTOR AGREEMENT,"['Wireless Links Inc', 'Jaguar Investments, Inc. and its affiliates']",Wireless Links Inc,"Jaguar Investments, Inc. and its affiliates","April 7th, 2003","April 7th, 2003",,120 days,Yes,$[*] per Unit,"The contract can be terminated for cause by either party, including default or failure to perform obligations, ceasing business operations, insolvency, or violation of laws or regulations.",Yes,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.docx",Pennsylvania,Nevada
470,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.docx",Amendment,"['VIVINT SOLAR, INC.', 'VIVINT, INC.']","VIVINT SOLAR, INC.","VIVINT, INC.","August 16, 2017","August 16, 2017",,,,,"This Agreement will become effective on the Effective Date, and will continue until the expiration of the “Sales Term” as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the “ Term ”).",,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.docx",Delaware,Utah
471,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.docx,Promotion Agreement,"['BookingEntertainment.com', 'VNUE, Inc.']",BookingEntertainment.com,"VNUE, Inc.","September 10, 2015","September 10, 2015",,,Yes,"$2,500.00 for each One (1) Year contract Promoter secures per venue and Five Thousand Dollars ($5,000,00) for each Two (2) Year contract Promoter secures per venue",Breach of Section 9 shall operate to terminate this Agreement automatically without notice otherwise required by this Agreement.,Yes,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.docx,Nevada,NY
472,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.docx,DEVELOPMENT AGREEMENT,"['LEO PHARMA A/S', 'GALEN (CHEMICALS) LIMITED']",LEO PHARMA A/S,GALEN (CHEMICALS) LIMITED,"April ____, 2003",,,sixty (60) days,Yes,"US$5,000,000","The agreement can be terminated if one of the parties materially defaults or breaches any of the provisions of the agreement, or if the Dovonex(R) Agreement or Dovobet(R) Agreement are terminated under specific conditions.",Yes,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.docx,Denmark,Ireland
473,"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",STRATEGIC ALLIANCE AGREEMENT,"['SHBV (HONG KONG) LTD', 'WASTE2ENERGY GROUP  HOLDINGS PLC']",SHBV (HONG KONG) LTD,WASTE2ENERGY GROUP  HOLDINGS PLC,"MAY  , 2010",,,thirty (30) days,Yes,,"Either Party may (without prejudice to its other rights) terminate this Agreement at any time by giving written notice to the other Party if: the other Party becomes unable to pay its debts, admits its inability to pay its debts or becomes insolvent, or a petition is presented, an order made or a resolution passed for the liquidation, administration, bankruptcy or dissolution of the other Party, or an administrative or other receiver, manager, trustee, liquidator, administrator or similar person or officer is appointed to the other Party and/or over all or any part of the assets of the other Party, or the other Party enters into or proposes any composition or arrangement concerning its debts with its creditors (or any class of its creditors) generally, or anything equivalent to any of the events or circumstances stated in (i) to (iv) inclusive occurs in any applicable jurisdiction; or the other Party commits a material or persistent breach of the provisions of this Agreement (a “Breach”), provided that if the Breach is remediable, the other Party shall be given thirty (30) days to remedy the Breach from receipt of the first Party’s written notice specifying the nature of the Breach and requesting that the same be remedied.",Yes,"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",Hong Kong,Isle of Man
474,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.docx,Content and License Agreement,"['Oceanic Time Warner Cable', 'Watchit Media']",Oceanic Time Warner Cable,Watchit Media,,"September 1, 2006","December 31, 2006",,,"$5,000",Oceanic Time Warner Cable can terminate the contract if they remove the content or find it inappropriate or distasteful.,Yes,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.docx,Las Vegas,Null
475,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.docx,ENDORSEMENT AGREEMENT,"['FAMOUS FIXINS, INC.', 'PEY DIRT, INC.']","FAMOUS FIXINS, INC.","PEY DIRT, INC.","May 31, 1999","May 31, 1999","May 31, 2000",,Yes,8.5%,"The contract can be terminated due to non-payment, failure to meet obligations, bankruptcy, or specific events like natural disasters or labor disputes.",Yes,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.docx,New York,Null
476,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.docx,Content License Agreement,"['Emdeon Corporation', 'WebMD, Inc.']",Emdeon,WebMD,"October 1, 2005","October 1, 2005","August 31, 2006",thirty (30) days,Yes,"$5,000 per year",The contract can be terminated if either party fails to perform any of its material obligations and does not cure the breach within thirty (30) days of written notice.,Yes,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.docx,New Jersey,New York
477,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.docx,HOSTING AGREEMENT,"['eGain Communications Corporation', 'Eliance Corporation']",eGain Communications Corporation,Eliance Corporation,__________,Effective Date,,thirty (30) days,Yes,,"either party may terminate this Agreement by giving to the other party written notice of such termination upon the other party's material breach of any material term (subject to the other party's right to cure within thirty (30) days after receipt of such notice), the other party's insolvency, or the institution of any bankruptcy or similar proceedings by or against the other party.",Yes,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.docx,Null,Null
478,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.docx,EXCLUSIVE DISTRIBUTOR AGREEMENT,"['WATER NOW, INC.', 'Hydraspin USA, Inc.', 'BESTEV MANAGEMENT, LLC']","WATER NOW, INC.","BESTEV MANAGEMENT, LLC","November 12th, 2019","November 12th, 2019",five (5) year anniversary of the Effective Date,one hundred twenty (120) days,Yes,Not specified,"This Agreement may be terminated by mutual agreement, upon the occurrence of certain events such as cessation of business, failure to meet performance benchmarks, breach of contract, change of control, or bankruptcy.",Yes,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.docx,Texas,Texas
479,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.docx,Confirmation,"['UBS AG, London Branch', 'Wells Fargo Bank, N.A., not individually, but solely as Master Servicer on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust']","UBS AG, London Branch","Wells Fargo Bank, N.A., not individually, but solely as Master Servicer on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust",27 April 2006,01 April 2006,1 April 2009,,Yes,"USD 20,000,000.00","The contract can be terminated upon the occurrence of a Ratings Event or Swap Disclosure Event, and UBS AG fails to comply with the specified requirements within the given timeframes.",Yes,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.docx,London,Maryland
480,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.docx",Agreement,"['Whitesmoke Inc.', 'Google Inc']",Whitesmoke Inc.,Google Inc,1 August 2011,1 August 2011,31 July 2013,[ * ],Yes,[ * ] Euros,"A party may suspend performance and/or terminate this Agreement, with immediate effect, if the other party is in material breach of this Agreement where the breach is incapable of remedy; or is in material breach of this Agreement where the breach is capable of remedy and fails to remedy that breach within thirty (30) days after receiving written notice of such breach.",Yes,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.docx",USA,USA
481,WESTERN COPPER - NON-COMPETITION AGREEMENT.docx,NON COMPETITION AGREEMENT AND RIGHT OF FIRST OFFER,"['GLAMIS GOLD LTD.', 'WESTERN COPPER CORPORATION']",GLAMIS GOLD LTD.,WESTERN COPPER CORPORATION,"May 3,2006","May 3, 200ri",,30 days,,,This Agreement may be terminated at any time by agreement in writing executed by the parties.,Yes,WESTERN COPPER - NON-COMPETITION AGREEMENT.docx,Nevada,British Columbia
